grant_id,org_city,cruz,status,org_name,org_state,state_party,award_type,nsf_total_budget,usaspending_obligated,usaspending_outlaid,estimated_budget,estimated_outlays,estimated_remaining
2400839,NEW YORK,FALSE,❌ Terminated,New York University,NY,D,Continuing Grant,1839914,1204058,433090.98,1839914,433090.98,1406823.02
2400895,JERSEY CITY,,❌ Terminated,Hudson County Community College,NJ,D,Standard Grant,599811,NA,NA,599811,620715.9410187667,-20904.941018766724
2401036,UNIVERSITY PARK,FALSE,❌ Terminated,Pennsylvania State Univ University Park,PA,D,Standard Grant,999790,NA,NA,999790,1114172.7542372881,-114382.75423728814
2401057,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Continuing Grant,1000000,400000,194139.62,1000000,194139.62,805860.38
2401066,MIAMI,,❌ Terminated,Florida International University,FL,R,Standard Grant,334155,NA,NA,334155,349806.2880562061,-15651.288056206075
2401278,MADISON,TRUE,❌ Terminated,University of Wisconsin-Madison,WI,D,Standard Grant,246894,223494,27910.72,246894,27910.72,218983.28
2401390,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,300000,NA,NA,300000,309523.8095238095,-9523.809523809527
2401498,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Continuing Grant,335000,NA,NA,335000,348241.1067193676,-13241.106719367614
2401545,MEDFORD,FALSE,❌ Terminated,Tufts University,MA,D,Standard Grant,490573,NA,NA,490573,515056.31053604436,-24483.31053604436
2401907,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,325497,NA,NA,325497,350344.0992366412,-24847.099236641196
2402141,BOWLING GREEN,TRUE,❌ Terminated,Western Kentucky University,KY,D,Standard Grant,50000,NA,NA,50000,53971.96261682243,-3971.9626168224277
2402235,WASHINGTON,,❌ Terminated,National Academy of Sciences,DC,,Standard Grant,648319,648319,0,648319,0,648319
2402247,New Haven,,❌ Terminated,Yale University,CT,D,Fellowship Award,300000,200000,85413.5,300000,85413.5,214586.5
2402441,DOVER,FALSE,❌ Terminated,Delaware State University,DE,D,Standard Grant,1012381,1012381,0,1012381,0,1012381
2402464,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,395871,395871,53844.6,395871,53844.6,342026.4
2402468,ALLEN,FALSE,❌ Terminated,"LEARNING NETWORK, LLC, THE",TX,R,Cooperative Agreement,989117,NA,NA,989117,1074168.4617834394,-85051.46178343939
2403517,AMHERST,TRUE,❌ Terminated,SUNY at Buffalo,NY,D,Standard Grant,42019,31070,18226.57,42019,18226.57,23792.43
2403523,STONY BROOK,,❌ Terminated,SUNY at Stony Brook,NY,D,Standard Grant,499997,499997,1135.49,499997,1135.49,498861.51
2404263,GREELEY,FALSE,❌ Terminated,University of Northern Colorado,CO,D,Standard Grant,87067,NA,NA,87067,97028.05508474576,-9961.055084745763
2404264,WASHINGTON,FALSE,❌ Terminated,Association of American Geographers,DC,,Standard Grant,912722,NA,NA,912722,1017143.5847457628,-104421.58474576275
2404468,CHENEY,,❌ Terminated,Eastern Washington University,WA,D,Standard Grant,975049,975049,117288.18,975049,117288.18,857760.8200000001
2404512,CINCINNATI,,❌ Terminated,University of Cincinnati Main Campus,OH,R,Standard Grant,999977,999977,15881.07,999977,15881.07,984095.93
2404537,DENTON,,❌ Terminated,University of North Texas,TX,R,Standard Grant,190425,190425,4830.41,190425,4830.41,185594.59
2404538,STORRS,,❌ Terminated,University of Connecticut,CT,D,Standard Grant,119690,119690,0,119690,0,119690
2404550,URBANA,,❌ Terminated,University of Illinois at Urbana-Champaign,IL,D,Standard Grant,1000000,1000000,80074.91,1000000,80074.91,919925.09
2404580,SPRINGFIELD,,❌ Terminated,Missouri State University,MO,R,Standard Grant,954175,NA,NA,954175,1023822.8102189781,-69647.81021897809
2404600,WASHINGTON,,❌ Terminated,Association of Public and Land-Grant Universities,DC,,Standard Grant,1249999,1249999,68321.11,1249999,68321.11,1181677.89
2404640,DENTON,,❌ Terminated,University of North Texas,TX,R,Standard Grant,999809,999809,5210.91,999809,5210.91,994598.09
2404653,WICHITA,,❌ Terminated,Wichita State University,KS,D,Standard Grant,1000000,NA,NA,1000000,1062305.2959501557,-62305.295950155705
2404783,BOISE,,❌ Terminated,Boise State University,ID,R,Standard Grant,1074957,1074957,5908.27,1074957,5908.27,1069048.73
2404859,WESTON,,❌ Terminated,Regis College,MA,D,Standard Grant,299848,NA,NA,299848,349409.652892562,-49561.65289256198
2404955,NORMAL,,❌ Terminated,Alabama A&M University,AL,R,Standard Grant,1075000,1075000,344964,1075000,344964,730036
2404971,SANTA BARBARA,,🔄 Possibly Reinstated,University of California-Santa Barbara,CA,D,Standard Grant,1075000,1075000,186000,1075000,186000,889000
2405120,SAN FRANCISCO,FALSE,🔄 Possibly Reinstated,WestEd,CA,D,Continuing Grant,2999907,1502771,281537.16,2999907,281537.16,2718369.84
2405747,AUSTIN,FALSE,❌ Terminated,University of Texas at Austin,TX,R,Standard Grant,100000,100000,53692.72,100000,53692.72,46307.28
2405868,COLUMBIA,FALSE,❌ Terminated,University of South Carolina at Columbia,SC,R,Continuing Grant,602701,NA,NA,602701,695689.1542857143,-92988.15428571426
2406110,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,436310,436310,72308.21,436310,72308.21,364001.79
2406112,WASHINGTON,,❌ Terminated,University of the District of Columbia,DC,,Standard Grant,175000,NA,NA,175000,189403.29218106996,-14403.292181069963
2406575,JACKSON,,❌ Terminated,Jackson State University,MS,R,Continuing Grant,2500000,1000000,104623.42,2500000,104623.42,2395376.58
2406905,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Continuing Grant,180000,120000,27814.8,180000,27814.8,152185.2
2407056,DURHAM,TRUE,❌ Terminated,Duke University,NC,D,Continuing Grant,337943,NA,NA,337943,360740.74206349207,-22797.74206349207
2407215,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,522928,522928,94331.42,522928,94331.42,428596.58
2407374,TAMPA,FALSE,❌ Terminated,University of South Florida,FL,R,Standard Grant,181785,181785,7497.53,181785,7497.53,174287.47
2407375,CINCINNATI,FALSE,❌ Terminated,University of Cincinnati Main Campus,OH,R,Standard Grant,18215,18215,4222.54,18215,4222.54,13992.46
2407727,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,450000,NA,NA,450000,464285.71428571426,-14285.71428571426
2407922,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,484024,484024,23618.46,484024,23618.46,460405.54
2408749,LINCOLN,FALSE,❌ Terminated,University of Nebraska-Lincoln,NE,R,Standard Grant,1199999,NA,NA,1199999,1337287.0211864407,-137288.02118644072
2408960,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,49500,49500,45849.23,49500,45849.23,3650.769999999997
2408967,TAMPA,,❌ Terminated,University of South Florida,FL,R,Standard Grant,749908,749908,1381.62,749908,1381.62,748526.38
2408969,NEW BRUNSWICK,,❌ Terminated,Rutgers University New Brunswick,NJ,D,Continuing Grant,1792744,NA,NA,1792744,1854669.5267702937,-61925.52677029371
2408979,CLEARWATER,,❌ Terminated,St. Petersburg College,FL,R,Continuing Grant,1500000,NA,NA,1500000,1615384.6153846155,-115384.61538461549
2409010,HONOLULU,,❌ Terminated,University of Hawaii,HI,D,Continuing Grant,2473651,993690,60843.38,2473651,60843.38,2412807.62
2409134,MINNEAPOLIS,,❌ Terminated,University of Minnesota-Twin Cities,MN,D,Continuing Grant,2500000,1030690,76478.21,2500000,76478.21,2423521.79
2409137,OAKLAND,,🔄 Possibly Reinstated,"University of California, Office of the President, Oakland",CA,D,Continuing Grant,2500000,NA,NA,2500000,235616.43835616438,2264383.5616438356
2409150,LAWRENCE,,❌ Terminated,University of Kansas Center for Research Inc,KS,D,Continuing Grant,3500000,700000,119311.32,3500000,119311.32,3380688.68
